PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0007000000 uM,Activity at 0.00160 uM,Activity at 0.00370 uM,Activity at 0.00820 uM,Activity at 0.018 uM,Activity at 0.041 uM,Activity at 0.092 uM,Activity at 0.205 uM,Activity at 0.457 uM,Activity at 1.022 uM,Activity at 2.286 uM,Activity at 5.112 uM,Activity at 11.43 uM,Activity at 25.56 uM,Activity at 57.14 uM,Compound QC
6,4237476,3232589,Inactive,0,,,Inactive,,,,,,,,,,4,,-34.38,,,23.68,,18.27,,53.88,,35.15,,-5.841,,-11.17,,-34.38,QC'd by Pharmacopeia
7,4237477,3232590,Inactive,0,,,Inactive,,,,,,,,,,4,,-35.49,,,3.695,,50.52,,-44.07,,0.744,,46.91,,78.53,,-35.49,QC'd by Pharmacopeia
8,4237478,3232591,Inactive,0,,,Inactive,,,,,,,,,,4,,-7.578,,,-13.3,,-11.54,,-10.34,,9.628,,45.2,,6.35,,-7.578,QC'd by Pharmacopeia
9,4237479,3232592,Inconclusive,21,,,Inhibitor,10,54.74,,Partial curve; partial efficacy,-5,4.9549,0.9107,-49.24,5.5,-2.2,0 0 1 0 0 0 0,-49.46,,,12.78,,-8.898,,34.82,,9.502,,8.903,,-30.32,,-49.46,QC'd by Pharmacopeia
10,4237480,3232593,Inactive,0,,,Inactive,,,,,,,,,,4,,-31.89,,,-12.12,,-10.23,,10.18,,-3.093,,-0.5646,,-7.947,,-31.89,QC'd by Pharmacopeia
11,4237481,3232594,Inactive,0,,,Inactive,,,,,,,,,,4,,6.586,,,-14.84,,-1.713,,17.36,,49.91,,2.807,,22.49,,6.586,QC'd by Pharmacopeia
12,4237482,3232595,Active,88,,,Inhibitor,0.5012,96.8005,,Complete curve; high efficacy,-6.3,2.0479,0.9858,-91.064,5.7365,-1.1,0 0 0 0 0 0 0,-93.27,,,7.731,,-2.943,,11.03,,-41.74,,-81.73,,-92.84,,-93.27,QC'd by Pharmacopeia
13,4237483,3232596,Inconclusive,20,,,Inhibitor,39.8107,59.046,,Single point of activity,-4.4,4.9549,0.694,-56.12,2.926,-3,1 0 0 0 0 0 0,-47.6,,,-15.36,,2.999,,-4.317,,-17.01,,9.774,,23.88,,-47.6,QC'd by Pharmacopeia
14,4237484,3232597,Inactive,0,,,Activator,0.2512,38.2885,,Complete curve; partial efficacy; poor fit,-6.6,4.9549,0.6285,22.5875,-15.701,1.4,0 1 0 0 0 0 0,45.57,,,-6.181,,24.61,,-24.78,,23.55,,15.74,,3.883,,45.57,QC'd by Pharmacopeia
15,4237485,3232598,Active,42,,,Inhibitor,12.5893,92.045,,Partial curve; partial efficacy,-4.9,1.8079,0.9811,-81.545,10.5,-2.2,0 0 0 0 0 0 0,-75.22,,,3.741,,10.23,,9.375,,19.16,,7.281,,-33.25,,-75.22,QC'd by Pharmacopeia
16,4237486,3232599,Inconclusive,20,,,Inhibitor,2.5119,118.561,,Partial curve; partial efficacy; poor fit,-5.6,1,0.6551,-67.5827,50.978,-2.4,1 0 0 0 0 0 0,-71.97,,,327,,5.097,,106.9,,19.22,,-13.76,,-30.24,,-71.97,QC'd by Pharmacopeia
17,4237487,3232600,Active,89,,,Inhibitor,0.5012,99.5235,,Complete curve; high efficacy,-6.3,1.4641,0.9542,-96.635,2.8885,-1.1,0 0 0 0 0 0 0,-104.6,,,0.5474,,-8.045,,10.94,,-50.94,,-74.79,,-95.08,,-104.6,QC'd by Pharmacopeia
18,4237488,3232601,Inactive,0,,,Inactive,,,,,,,,,,4,,-22.27,,,3.936,,-9.57,,4.378,,-12.26,,9.591,,-14.87,,-22.27,QC'd by Pharmacopeia
19,4237489,3232602,Active,89,,,Inhibitor,0.3981,87.4631,,Complete curve; high efficacy,-6.4,1.5095,0.9863,-93.4214,-5.9583,-1.1,0 0 0 0 0 0 0,-96.07,,,-0.3194,,-14.71,,-10.76,,-57.31,,-83.56,,-92.73,,-96.07,QC'd by Pharmacopeia
20,4237490,3232603,Active,42,,,Inhibitor,15.8489,104.129,,Partial curve; high efficacy,-4.8,1.6266,0.9686,-113.178,-9.0495,-2.1,0 0 0 0 0 0 0,-102.3,,,-10.49,,4.165,,-16.04,,-12.7,,-15.2,,-46.05,,-102.3,QC'd by Pharmacopeia
21,4237491,3232604,Active,85,,,Inhibitor,3.9811,88.9259,,Complete curve; high efficacy,-5.4,1,0.8819,-102.449,-13.5231,-1.1,0 0 0 0 0 0 0,-96.5,,,-23.67,,-35.37,,-3.521,,-29.43,,-42.65,,-81.04,,-96.5,QC'd by Pharmacopeia
22,4237492,3232605,Inactive,0,,,Inactive,,,,,,,,,,4,,16.89,,,-14.43,,-7.337,,-27.89,,16.15,,3.18,,22.01,,16.89,QC'd by Pharmacopeia
23,4237493,3232606,Active,42,,,Inhibitor,10,78.115,,Partial curve; high efficacy,-5,3.1925,0.8684,-82.8555,-4.7405,-2.1,0 0 0 0 0 0 0,-85.08,,,7.325,,-10.84,,-28.64,,2.932,,2.778,,-47.52,,-85.08,QC'd by Pharmacopeia
24,4237494,3232607,Inactive,0,,,Inactive,,,,,,,,,,4,,-44.57,,,-16.76,,3.57,,34.62,,26.32,,27.62,,-2.506,,-44.57,QC'd by Pharmacopeia
25,4237495,3232608,Inconclusive,20,,,Inhibitor,25.1189,81.5745,,Single point of activity,-4.6,1.8079,0.7669,-75.217,6.3575,-3,0 1 0 0 0 0 0,-60.36,,,3.254,,36.51,,-12.76,,32.49,,1.464,,-8.627,,-60.36,QC'd by Pharmacopeia
26,4237496,3232609,Inactive,0,,,Inactive,,,,,,,,,,4,,4.094,,,15.18,,24.33,,-14.46,,10.76,,25.66,,43.33,,4.094,QC'd by Pharmacopeia
27,4237497,3232610,Active,42,,,Inhibitor,10,70.4378,,Partial curve; partial efficacy,-5,4.5045,0.9499,-75.3709,-4.9331,-2.2,0 0 0 0 0 0 0,-75.67,,,3.661,,-5.246,,-17.96,,0.3917,,-4.615,,-50.3,,-75.67,QC'd by Pharmacopeia
28,4237498,3232611,Inactive,0,,,Inactive,,,,,,,,,,4,,-8.95,,,-19.1,,-10.13,,2.409,,6.197,,54.03,,-15.68,,-8.95,QC'd by Pharmacopeia
29,4237499,3232612,Inconclusive,20,,,Inhibitor,0.0251,90.6012,,Complete curve; partial efficacy; poor fit,-7.6,3.99,0.7848,-16.2258,74.3754,-1.4,0 0 0 0 0 0 0,-52.39,,,73.67,,55.34,,-32.57,,-3.621,,6.144,,2.018,,-52.39,QC'd by Pharmacopeia
30,4237500,3232613,Inactive,0,,,Inactive,,,,,,,,,,4,,-10.28,,,-9.673,,-11.59,,-15.34,,-0.6835,,9.141,,38.07,,-10.28,QC'd by Pharmacopeia
31,4237501,3232614,Inconclusive,21,,,Inhibitor,12.5893,88.6615,,Partial curve; partial efficacy,-4.9,1.01,0.918,-69.8445,18.817,-2.2,1 0 0 0 0 0 0,-54.53,,,44.91,,8.453,,33.64,,8.885,,6.887,,-23.77,,-54.53,QC'd by Pharmacopeia
32,4237502,3232615,Inactive,0,,,Inactive,,,,,,,,,,4,,-43.74,,,-2.36,,-6.263,,-1.962,,21.25,,15.76,,13.99,,-43.74,QC'd by Pharmacopeia
33,4237503,3232616,Inactive,0,,,Inactive,,,,,,,,,,4,,5.25,,,-19.54,,-16.46,,-11.1,,31.66,,-3.253,,35.8,,5.25,QC'd by Pharmacopeia
34,4237504,3232617,Inactive,0,,,Inactive,,,,,,,,,,4,,-25.23,,,3.958,,28.4,,7.324,,30.63,,18.89,,-8.108,,-25.23,QC'd by Pharmacopeia
35,4237505,3232618,Inactive,0,,,Inactive,,,,,,,,,,4,,-28.19,,,1.91,,63.01,,-7.978,,13.27,,14.97,,39.11,,-28.19,QC'd by Pharmacopeia
36,4237506,3232619,Active,42,,,Inhibitor,12.5893,81.9106,,Partial curve; high efficacy,-4.9,2.4064,0.8706,-81.4006,0.5101,-2.1,0 0 0 0 0 0 0,-80.16,,,-3.022,,1.71,,-18.74,,21.85,,-2.446,,-34.01,,-80.16,QC'd by Pharmacopeia
37,4237507,3232620,Inactive,0,,,Inactive,,,,,,,,,,4,,-18.2,,,-14.33,,7.583,,-5.887,,12.65,,13.17,,18.73,,-18.2,QC'd by Pharmacopeia
38,4237508,3232621,Active,84,,,Inhibitor,3.9811,80.7279,,Complete curve; high efficacy,-5.4,2.3531,0.9187,-81.2518,-0.5239,-1.1,0 0 0 0 0 0 0,-84.3,,,0.5663,,-10.54,,-10.4,,20.48,,-22.61,,-70.84,,-84.3,QC'd by Pharmacopeia
39,4237509,3232622,Inactive,0,,,Inactive,,,,,,,,,,4,,30.53,,,-0.5167,,17.44,,-15.44,,-0.664,,-16.8,,-12.01,,30.53,QC'd by Pharmacopeia
40,4237510,3232623,Inactive,0,,,Inactive,,,,,,,,,,4,,-39.89,,,25.11,,21.3,,-38.9,,-15.19,,6.621,,-36.86,,-39.89,QC'd by Pharmacopeia
41,4237511,3232624,Active,50,,,Inhibitor,0.7943,198.431,,Partial curve; high efficacy,-6.1,0.4,0.9263,-128.064,70.3665,-2.1,0 0 0 0 0 0 0,-98.25,,,50.45,,58.12,,-13.69,,-21.59,,-31.64,,-84.63,,-98.25,QC'd by Pharmacopeia
42,4237512,3232625,Inactive,0,,,Inactive,,,,,,,,,,4,,-4.317,,,-6.359,,-23.52,,-19.86,,-8.284,,78.64,,-32.64,,-4.317,QC'd by Pharmacopeia
43,4237513,3232626,Inactive,0,,,Inactive,,,,,,,,,,4,,-42.24,,,9.18,,6.702,,18.28,,1.088,,15.58,,7.806,,-42.24,QC'd by Pharmacopeia
44,4237514,3232627,Active,44,,,Inhibitor,6.3096,112.544,,Partial curve; high efficacy,-5.2,0.6,0.9305,-121.691,-9.1472,-2.1,0 0 0 0 0 0 0,-95.87,,,-12.5,,0.602,,-30.2,,-33.21,,-38.56,,-82.1,,-95.87,QC'd by Pharmacopeia
45,4237515,3232628,Inactive,0,,,Inactive,,,,,,,,,,4,,-14.93,,,13.07,,-31.44,,-2.872,,14.78,,11.46,,5.715,,-14.93,QC'd by Pharmacopeia
46,4237516,3232629,Active,41,,,Inhibitor,19.9526,101.617,,Partial curve; high efficacy,-4.7,1.1,0.8528,-111.216,-9.5988,-2.1,0 1 0 0 0 0 0,-88.47,,,-20.88,,49.61,,-13.53,,12.57,,-29.75,,-42.86,,-88.47,QC'd by Pharmacopeia
47,4237517,3232630,Inactive,0,,,Inactive,,,,,,,,,,4,,-27.35,,,-3.746,,47.35,,6.104,,-38.85,,-25.15,,16.28,,-27.35,QC'd by Pharmacopeia
48,4237518,3232631,Inactive,0,,,Inactive,,,,,,,,,,4,,-33.62,,,-9.173,,-1.196,,1.663,,16.02,,45.34,,-13.99,,-33.62,QC'd by Pharmacopeia
49,4237519,3232632,Active,45,,,Inhibitor,3.1623,92.769,,Partial curve; high efficacy,-5.5,1.1,0.9618,-97.9831,-5.2141,-2.1,0 0 0 0 0 0 0,-98.3,,,-7.645,,-4.161,,-13.43,,-3.531,,-51.99,,-71.79,,-98.3,QC'd by Pharmacopeia
50,4237520,3232633,Inactive,0,,,Inactive,,,,,,,,,,4,,-4.01,,,-16.97,,-35.71,,61.98,,-25.89,,-17.43,,15.9,,-4.01,QC'd by Pharmacopeia
51,4237521,3232634,Inconclusive,20,,,Inhibitor,15.8489,139.866,,Single point of activity,-4.8,1.2475,0.6488,-95.5595,44.3064,-3,0 0 0 0 1 0 0,-72.71,,,16.49,,21.46,,111.9,,23.49,,115.3,,-10.2,,-72.71,QC'd by Pharmacopeia
52,4237522,3232635,Inactive,0,,,Inactive,,,,,,,,,,4,,-13.68,,,-14.57,,15.89,,-20.1,,0.0342,,-19.99,,4.207,,-13.68,QC'd by Pharmacopeia
53,4237523,3232636,Inconclusive,20,,,Inhibitor,39.8107,74.796,,Single point of activity,-4.4,2.7202,0.811,-81.6572,-6.8612,-3,0 0 0 0 0 0 0,-62.33,,,-17.59,,6.282,,-22.63,,0.0433,,-3.826,,-8.52,,-62.33,QC'd by Pharmacopeia
54,4237524,3232637,Inconclusive,20,,,Inhibitor,31.6228,79.848,,Single point of activity,-4.5,2.7202,0.8531,-84.835,-4.987,-3,0 0 1 0 0 0 0,-71.54,,,-10.56,,-2.694,,42.23,,13.33,,-20.75,,-9.559,,-71.54,QC'd by Pharmacopeia
55,4237525,3232638,Inactive,0,,,Inactive,,,,,,,,,,4,,-41.73,,,-14.26,,-36.89,,25.42,,21.6,,18.46,,-27.07,,-41.73,QC'd by Pharmacopeia
56,4237526,3232639,Inactive,0,,,Inactive,,,,,,,,,,4,,-14.74,,,-28.27,,-21.9,,36.22,,27.17,,6.28,,8.424,,-14.74,QC'd by Pharmacopeia
57,4237527,3232640,Inconclusive,20,,,Inhibitor,39.8107,44.242,,Single point of activity,-4.4,4.9549,0.638,-58.582,-14.34,-3,0 0 0 0 1 0 0,-52.32,,,-20.75,,-29.67,,-13.89,,-25.13,,14.14,,-8.28,,-52.32,QC'd by Pharmacopeia
58,4237528,3232641,Inactive,0,,,Inactive,,,,,,,,,,4,,-0.3785,,,-4.225,,7.663,,-9.514,,-8.263,,-11.17,,-10.2,,-0.3785,QC'd by Pharmacopeia
59,4237529,3232642,Inactive,0,,,Inactive,,,,,,,,,,4,,-27.16,,,4.353,,18.79,,4.414,,24.27,,15.58,,-24.44,,-27.16,QC'd by Pharmacopeia
60,4237530,3232643,Inconclusive,20,,,Inhibitor,25.1189,101.623,,Single point of activity,-4.6,2.7868,0.6958,-83.5532,18.0698,-3,1 0 0 0 0 0 0,-73.93,,,-20.84,,-19.38,,8.731,,27.87,,55.14,,6.312,,-73.93,QC'd by Pharmacopeia
61,4237531,3232644,Inactive,0,,,Inactive,,,,,,,,,,4,,-11.95,,,-0.7537,,-28.89,,0.6418,,-16.05,,-17.95,,-7.065,,-11.95,QC'd by Pharmacopeia
62,4237532,3232645,Active,84,,,Inhibitor,5.0119,95.548,,Complete curve; high efficacy,-5.3,1.4163,0.9842,-100.191,-4.6431,-1.1,0 0 0 0 0 0 0,-98.17,,,-12.86,,-1.082,,-5.453,,-0.751,,-31.59,,-75.32,,-98.17,QC'd by Pharmacopeia
63,4237533,3232646,Inactive,0,,,Inactive,,,,,,,,,,4,,-10.52,,,-17.74,,-16.62,,-7.509,,-4.544,,-6.724,,24.06,,-10.52,QC'd by Pharmacopeia
64,4237534,3232647,Inactive,0,,,Inactive,,,,,,,,,,4,,15.87,,,3.215,,-13.28,,62.73,,7.498,,38.41,,21.99,,15.87,QC'd by Pharmacopeia
65,4237535,3232648,Inactive,0,,,Inactive,,,,,,,,,,4,,3.448,,,-14.48,,-4.199,,-9.322,,-0.0496,,-15.4,,-14.7,,3.448,QC'd by Pharmacopeia
66,4237536,3232649,Inconclusive,20,,,Inhibitor,19.9526,86.5055,,Single point of activity,-4.7,1.6924,0.9778,-72.373,14.1325,-3,0 0 0 0 0 0 0,-60.09,,,11.52,,12.13,,9.828,,22.56,,10.82,,-9.741,,-60.09,QC'd by Pharmacopeia
67,4237537,3232650,Active,95,,,Inhibitor,0.0501,95.392,,Complete curve; high efficacy,-7.3,1.331,0.997,-104.928,-9.536,-1.1,0 0 0 0 0 0 0,-107.7,,,-15.62,,-27.99,,-75.32,,-100.7,,-101.6,,-104.8,,-107.7,QC'd by Pharmacopeia
68,4237538,3232651,Inconclusive,20,,,Inhibitor,19.9526,66.5695,,Partial curve; partial efficacy; poor fit,-4.7,1.9673,0.4267,-69.3533,-2.7838,-2.4,0 0 0 0 1 0 0,-61.97,,,-15.77,,-13.5,,-30.97,,49.38,,97.23,,-20.23,,-61.97,QC'd by Pharmacopeia
69,4237539,3232652,Inconclusive,20,,,Inhibitor,7.9433,95.464,,Partial curve; high efficacy; poor fit,-5.1,0.9,0.7897,-104.181,-8.7173,-2.3,0 0 0 1 0 0 0,-86.22,,,0.9534,,-34.06,,-24.27,,21.68,,-19.24,,-74.77,,-86.22,QC'd by Pharmacopeia
70,4237540,3232653,Active,65,,,Inhibitor,1.9953,86.698,,Complete curve; partial efficacy,-5.7,1.4641,0.9383,-76.698,10,-1.2,0 0 0 0 0 0 0,-75.72,,,16.51,,-9.619,,20.96,,2.709,,-40.14,,-67.89,,-75.72,QC'd by Pharmacopeia
71,4237541,3232654,Inactive,0,,,Inactive,,,,,,,,,,4,,-41.56,,,6.251,,6.749,,-1.806,,4.813,,-3.697,,-16.36,,-41.56,QC'd by Pharmacopeia
72,4237542,3232655,Active,41,,,Inhibitor,12.5893,92.2533,,Partial curve; partial efficacy,-4.9,2.9023,0.8994,-64.3758,27.8775,-2.2,1 0 0 0 0 0 0,-60.96,,,0.6739,,8.062,,38.52,,24.51,,42.29,,-17.35,,-60.96,QC'd by Pharmacopeia
73,4237543,3232656,Inactive,0,,,Inactive,,,,,,,,,,4,,-21.28,,,3.805,,21.32,,-3.543,,4.694,,17.07,,-4.916,,-21.28,QC'd by Pharmacopeia
74,4237544,3232657,Active,44,,,Inhibitor,5.0119,106.725,,Partial curve; high efficacy,-5.3,0.9,0.9374,-101.491,5.2345,-2.1,0 0 0 0 0 0 0,-93.3,,,11.39,,-8.605,,2.174,,8.777,,-41.58,,-60.8,,-93.3,QC'd by Pharmacopeia
75,4237545,3232658,Inactive,0,,,Inactive,,,,,,,,,,4,,-27.74,,,21.7,,34.84,,5.317,,28.26,,32.26,,45.65,,-27.74,QC'd by Pharmacopeia
76,4237546,3232659,Inactive,0,,,Inactive,,,,,,,,,,4,,-40.89,,,-10.2,,-13.61,,12.22,,-7.057,,5.271,,19.1,,-40.89,QC'd by Pharmacopeia
77,4237547,3232660,Inconclusive,27,,,Inhibitor,0.1585,70.248,,Complete curve; partial efficacy,-6.8,1.2876,0.952,-62.896,7.352,-1.2,1 0 0 0 0 0 0,-55.6,,,-27.28,,5.34,,-17.86,,-42.56,,-71.14,,-63.85,,-55.6,QC'd by Pharmacopeia
78,4237548,3232661,Inconclusive,20,,,Inhibitor,31.6228,65.987,,Single point of activity,-4.5,1.8079,0.8298,-62.838,3.149,-3,0 1 0 0 0 0 0,-46.78,,,-3.162,,30.79,,-4.314,,20.24,,-1.344,,-6.171,,-46.78,QC'd by Pharmacopeia
79,4237549,3232662,Inactive,0,,,Inactive,,,,,,,,,,4,,-16.29,,,28.63,,52.03,,-60.05,,8.424,,27.24,,55.52,,-16.29,QC'd by Pharmacopeia
80,4237550,3232663,Active,43,,,Inhibitor,6.3096,97.7728,,Partial curve; high efficacy,-5.2,0.9,0.9527,-98.7752,-1.0024,-2.1,0 0 0 0 0 0 0,-88.16,,,-3.793,,-10.59,,12.08,,-14.02,,-29,,-60.47,,-88.16,QC'd by Pharmacopeia
81,4237551,3232664,Active,42,,,Inhibitor,10,79.013,,Partial curve; partial efficacy,-5,2.8473,0.9618,-60.719,18.294,-2.2,1 0 0 0 0 0 0,-62.18,,,-8.618,,6.098,,25.76,,18.61,,20.21,,-25.7,,-62.18,QC'd by Pharmacopeia
82,4237552,3232665,Inconclusive,20,,,Inhibitor,39.8107,86.696,,Single point of activity,-4.4,4.9549,0.7298,-71.326,15.37,-3,0 0 0 0 0 0 0,-59.13,,,9.851,,38.27,,-4.118,,-7.139,,23.82,,30.68,,-59.13,QC'd by Pharmacopeia
83,4237553,3232666,Inconclusive,20,,,Inhibitor,31.6228,76.163,,Single point of activity,-4.5,3.5117,0.8211,-68.163,8,-3,0 0 0 0 0 0 0,-59.48,,,6.348,,-0.0971,,28.39,,-9.615,,14.84,,5.738,,-59.48,QC'd by Pharmacopeia
84,4237554,3232667,Inconclusive,20,,,Inhibitor,19.9526,55.2685,,Single point of activity,-4.7,2.7202,0.7889,-50.725,4.5435,-3,0 0 1 0 0 0 0,-47.76,,,-9.792,,21.37,,101,,-3.304,,10.47,,-6.333,,-47.76,QC'd by Pharmacopeia
85,4237555,3232668,Inactive,0,,,Inactive,,,,,,,,,,4,,-26.95,,,4.136,,8.827,,14.29,,-9.944,,-0.3388,,9.291,,-26.95,QC'd by Pharmacopeia
86,4237556,3232669,Inactive,0,,,Inactive,,,,,,,,,,4,,9.513,,,19.05,,3.869,,25.39,,10.11,,13.48,,5.962,,9.513,QC'd by Pharmacopeia
87,4237557,3232670,Inactive,0,,,Activator,1.2589,84.816,,Partial curve; partial efficacy,-5.9,1.1341,0.8645,63.8,-21.016,2.2,0 0 0 0 0 0 1,-24.47,,,-15.1,,-9.233,,-40.78,,9.884,,31.29,,58.82,,-24.47,QC'd by Pharmacopeia
88,4237558,3232671,Active,42,,,Inhibitor,15.8489,91.4728,,Partial curve; high efficacy,-4.8,1,0.9415,-101.451,-9.9786,-2.1,0 0 0 0 0 0 0,-82.01,,,-14.03,,-1.616,,-18.95,,-21.09,,-15.98,,-48.5,,-82.01,QC'd by Pharmacopeia
89,4237559,3232672,Active,85,,,Inhibitor,3.1623,100.134,,Complete curve; high efficacy,-5.5,1.3723,0.9923,-100.134,0,-1.1,0 0 0 0 0 0 0,-99.1,,,-0.2083,,2.445,,-6.654,,-1.402,,-42.35,,-83.09,,-99.1,QC'd by Pharmacopeia
90,4237560,3232673,Inactive,0,,,Inactive,,,,,,,,,,4,,30.53,,,6.71,,6.724,,0.0689,,-21.86,,-13.09,,-28.84,,30.53,QC'd by Pharmacopeia
91,4237561,3232674,Inconclusive,20,,,Inhibitor,19.9526,60.6036,,Partial curve; partial efficacy; poor fit,-4.7,1.8851,0.5743,-71.3663,-10.7627,-2.4,0 0 0 1 0 0 0,-64.43,,,-17.37,,-42.87,,-3.927,,34.43,,-6.401,,-25.41,,-64.43,QC'd by Pharmacopeia
92,4237562,3232675,Inactive,0,,,Inactive,,,,,,,,,,4,,-23.09,,,6.284,,14.44,,59.46,,7.559,,29.6,,-35.56,,-23.09,QC'd by Pharmacopeia
93,4237563,3232676,Active,46,,,Inhibitor,2.5119,127.578,,Partial curve; high efficacy,-5.6,0.6,0.9699,-116.665,10.9132,-2.1,1 0 0 0 0 0 0,-98.52,,,-21.5,,0.9798,,5.415,,-33.05,,-44.25,,-83.32,,-98.52,QC'd by Pharmacopeia
94,4237564,3232677,Active,42,,,Inhibitor,12.5893,78.922,,Partial curve; partial efficacy,-4.9,3.132,0.9049,-79.361,-0.439,-2.2,0 0 0 1 0 0 0,-77.75,,,-15.2,,11.64,,-6.848,,51.09,,10.72,,-36.9,,-77.75,QC'd by Pharmacopeia
95,4237565,3232678,Inactive,0,,,Inactive,,,,,,,,,,4,,-27.67,,,58.03,,2.921,,-26.04,,-18.36,,97.32,,-4.749,,-27.67,QC'd by Pharmacopeia
